animeID,name,source,producers,genre,studio,episodes,airing,rank,popularity,members,favorites,reviewers,Animation_score
31456,Code:Realize - Sousei no Himegimi,Visual novel,Frontier Works,Military,M.S.C,12,FALSE,4879,1680,49839,185,11938,6.7
31463,"Maemilggot, Unsu Joeun Nal, Geurigo Bombom",Original,,Drama,Studio Meditation With a Pencil,1,FALSE,11914,12008,214,0,16,5.88
31464,Pichiko Dakyuubu,Unknown,,Comedy,DLE,29,FALSE,12570,14286,89,0,19,4.58
31465,Pichiko Dakyuubu USA-hen,Unknown,,Sports,DLE,3,FALSE,12571,14310,88,0,25,4.52
31467,Grendizer Giga,Manga,,Action,,1,FALSE,8908,10396,453,0,154,5.51
31471,MILPOM★,Original,,Comedy,Bandai Namco Pictures,6,FALSE,9936,9411,748,0,192,4.81
31476,Wake up!! Tamala,Unknown,,Fantasy,,1,FALSE,8408,10898,359,0,119,5.74
31478,Bungou Stray Dogs,Manga,Lantis,Action,Bones,12,FALSE,858,152,401847,5777,190064,7.82
31483,"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",Manga,,Drama,Bones,1,FALSE,905,1983,38828,96,19210,7.79
31485,Aikatsu Stars! Movie,Original,,Music,Bandai Namco Pictures,1,FALSE,1826,6753,2650,12,847,7.45
31486,Tantei Opera Milky Holmes Movie: Gyakushuu no Milky Holmes,Card game,Sotsu,Comedy,J.C.Staff,1,FALSE,2923,6719,2691,4,821,7.19
